Stations,UTM.X,UTM.Y,Region
SAG,496823.5285,2159810.904,NE
VIF,489895.6099,2173645.358,NE
XAL,491956.6131,2159289.802,NE
ATI,473371.5859,2164686.797,NW
CAM,482216.5033,2152657.539,NW
CUT,479187.9826,2180724.272,NW
FAC,474463.8458,2154203.727,NW
TLA,478535.1239,2159383.142,NW
TLI,481444.6924,2167504.538,NW
BJU,483306.0053,2141954.001,CE
HGM,484105.8753,2146354.723,CE
IZT,487661.7881,2143339.759,CE
MER,487460.7855,2147858.187,CE
ACO,510105.8158,2171124.841,NE
CHO,511996.7796,2130368.578,SE
MPA,501031.5106,2120401.254,SE
TAH,498890.6276,2128090.239,SE
UIZ,492502.7468,2140970.367,SE
AJM,478187.9449,2130946.311,SW
CUA,469365.5969,2141275.18,SW
INN,460020.4488,2133177.43,SW
MGH,478715.727,2145542.641,SW
PED,478582.6748,2136801.22,SW
SFE,472402.1216,2140375.012,SW
